진료과,성명,진료과목
소화기내과,이경원,"진단내시경, 치료내시경, 간질환, 상부위장관질환, 하부위장관질환, 췌담도 질환"
소화기내과,김주환,"진단내시경, 치료내시경, 간질환, 상부위장관질환, 하부위장관질환, 췌담도 질환"
소화기내과,임준욱,"위장관질환, 췌장, 담낭, 담도 질환, 간질환, 담석, 담낭용종, 담도암, 췌장낭종, 췌장암, 위장관 상피하 종양, 위장관 종양 내시경적 절제술(ESD, EMR), 담도내시경(ERCP), 초음파 내시경(EUS, EUS-FNA, EUS intervention), 스텐트 시술"
소화기내과,박현준,"진단내시경, 치료내시경, 간질환, 상부위장관질환, 하부위장관질환, 췌담도 질환"
호흡기내과,정혜철,"폐암, 간질성폐질환, 기관지천식, COPD, 폐결핵 및 폐렴, 중환자의학, 기관지내시경, 알레르기 질환"
호흡기내과,곽은경,"폐암, 간질성폐질환, 기관지천식, COPD, 폐결핵 및 폐렴, 중환자의학, 기관지내시경"
호흡기내과,정경진,"폐암, 간질성폐질환, 기관지천식, COPD, 폐결핵 및 폐렴, 중환자의학, 기관지내시경"
신장내과,박현철,"혈액/복막투석, 당뇨병, 고혈압, 급·만성 신부전, 단백뇨, 혈뇨"
신장내과,김선주,"혈액/복막투석, 당뇨병, 고혈압, 급·만성 신부전, 단백뇨, 혈뇨"
신장내과,이경미,"혈액/복막투석, 당뇨병, 고혈압, 급·만성 신부전, 단백뇨, 혈뇨"
심장내과,방우대,"흉통, 호흡곤란, 부종, 두근거림(심계항진), 실신, 하지파행, 협심증, 심근경색, 부정맥, 고혈압, 심부전, 판막질환"
심장내과,이세환,"흉통, 호흡곤란, 부종, 두근거림(심계항진), 실신, 하지파행, 협심증, 심근경색, 부정맥, 고혈압, 심부전, 판막질환"
심장내과,현철원,"흉통, 호흡곤란, 부종, 두근거림(심계항진), 실신, 하지파행, 협심증, 심근경색, 부정맥, 고혈압, 심부전, 판막질환"
류마티스내과,김윤석,"류마티스 질환(류마티스관절염, 골관절염, 통풍관절염, 전신홍반루푸스, 강직척추염, 전신경화증, 항인지질항체 증후군, 염증성 근육염, 쇼그렌증후군, 베체트병, 성인스틸씨병, 재발성 류마티즘, 섬유근육통, 전신성 혈관염), 그 외 관절을 침범하는 전신성 대사질환"
내분비내과,임태석,"당뇨병, 갑상선질환, 부신질환, 골다공증, 고지혈증, 비만, 뇌하수체질환"
내분비내과,박신애,"당뇨병, 갑상선질환, 부신질환, 골다공증, 무월경, 임신성 당뇨병, 임신성 갑상선질환"
외과,최석원,"담낭 담도계 질환 : 담석 / 담낭염(복강경), 담도결석, 용종, 대장항문질환 : 맹장염(복강경), 대장수술(복강경), 치핵/치열/치루/농양 등 항문질환, 상부위장관질환 : 위십이지장천공, 장폐색증"
외과,정남용,"대장항문질환 : 치핵/치열/치루/농양 등 항문질환, 탈홍, 맹장염(복강경), 대장 및 직장암, 상부위장관질환 : 위암(복강경), 위십이지장천공, 위양성질환(복강경), 장폐색, 담낭 담도계 질환 : 담석 / 담낭염(복강경), 담도결석, 췌장종양, 갑상선 질환 : 갑상선암 및 결절, 혈관 질환 : 하지정맥류, 하지부종, 궤양, 탈장"
외과,김준기,"복강경 및 로봇수술, 대장암 및 직장암(항문괄약근 보존 직장암 수술), 담낭 및 단관 결석 질환, 부신 및 비장 질환, 복벽 탈장 질환"
외과,주정일,"담낭 담도계 질환 : 담석 / 담낭염(복강경), 담도결석, 용종, 대장항문질환 : 맹장염(복강경), 대장수술(복강경) 치핵/치열/치루/농양 등 항문질환, 상부위장관질환 : 위십이지장천공, 장폐색증"
흉부외과,황정주,"호흡기질환, 일반흉부질환(기흉, 폐암, 식도암), 흉부·혈관질환, 흉부·혈관외상"
