수가코드,한글명칭,보험수가
RCT01001,Brain CT,"78,190"
RCT01001-H,건강검진 Brain CT,"78,190"
RCT01002,Brain CT with CE,"125,250"
RCT01003,Brain angiography CT with CE,"137,580"
RCT01003A,Brain+Neck angiography CT with CE,"287,700"
RCT01004,Brain 3D CT,"128,380"
RCT02001,Facial CT,"93,340"
RCT02002,Mandible CT,"93,340"
RCT02003,Orbit CT,"93,340"
RCT02004,Facial CT with CE,"148,090"
RCT02005,Orbit CT with CE,"148,090"
RCT02006,Sella CT with CE,"148,090"
RCT02007,Facial 3D CT,"153,730"
RCT02008,OMU CT,"93,340"
RCT02009,PNS CT,"93,340"
RCT02010,PNS CT with CE,"148,090"
RCT02011,Nasopharynx CT with CE,"148,090"
RCT02012,Oropharynx CT with CE,"148,090"
RCT02013,Temporal CT,"93,340"
RCT02014,Temporal CT with CE,"148,090"
RCT03001,Neck CT,"93,340"
RCT03002,Neck CT with CE,"148,090"
RCT03003,Thyroid CT with CE,"148,090"
RCT03004,Salivary gland CT with CE,"148,090"
RCT03005,Neck angiography  CT with CE,"162,930"
RCT04001,Chest HRCT,"95,670"
RCT04002,Chest CT,"95,670"
RCT04002-1,Chest 3D CT,"151,070"
RCT04002-2,Rib 3D CT,"151,070"
RCT04002G,Guided CT[Chest] _CT Guided Core Biopsy,"95,670"
RCT04003,Low Dose Chest CT,"95,670"
RCT04003-H,건강검진 Low Dose Chest CT,"95,670"
RCT04003-H2,건강검진 Low Dose Chest CT(국가폐암검진),"95,670"
RCT04004,Chest CT with CE,"145,730"
RCT04004-1,Pulmonary Embolism CT with CE,"145,730"
RCT04004A,Pulmonary Embolism+DVT CT with CE,"290,300"
RCT04005,Coronary Calcium score CT,"95,670"
RCT04005-H,건강검진 Coronary Calcium score CT,"95,670"
RCT04006,Thoracic angiography  CT with CE,"160,270"
RCT04007,Coronary angiography  CT with CE,"160,270"
RCT04007-H,건강검진 Coronary angiography  CT with CE,"160,343"
RCT05001,Abdomen CT,"95,670"
RCT05001-H,건강검진 Abdomen CT,"95,670"
RCT05001A,Kidney stone CT,"93,340"
RCT05002,Pelvis CT,"95,670"
RCT05004,Hepatic angiography  CT with CE,"160,270"
RCT05005,SMA angiography  CT with CE,"160,270"
RCT05006,Renal angiography  CT with CE,"160,270"
RCT05007,Pelvic Bone 3D CT,"151,070"
RCT05008,Aorta angiography CT with CE(abdominoiliac),"160,270"
RCT05008A,Aortic Dissection CT with CE,"160,270"
RCT05008B,Abdomen+Pelvis Dynamic CT with CE(GI bleeding),"160,270"
RCT05009A,Abdomen CT with CE,"145,730"
RCT05010,●Liver Dynamic CT with CE,"160,270"
RCT05011,●Pancreas Dynamic CT with CE,"160,270"
RCT05012,●Kidney Dynamic CT with CE,"160,270"
RCT05013,Pelvis CT with CE,"145,730"
RCT05013A,Abdomen+Pelvis CT with CE,"145,730"
RCT05013A-H,건강검진 Abdomen+Pelvis CT with CE,"145,730"
RCT05013S,Abdomen+Pelvis CT with CE(Stomach),"145,730"
RCT05014A,Abdomen+Pelvis CT,"95,670"
RCT05014A-H,건강검진 Abdomen+Pelvis CT,"95,670"
RCT05016,Adrenal CT with CE,"145,730"
RCT05019,*Abdomen Fat CT,"50,000"
RCT05019-H,건강검진 Abdomen Fat CT,"95,670"
RCT06001,C-spine CT,"100,390"
RCT06001-H,건강검진 C-spine CT,"100,390"
RCT06002,T-spine CT,"100,390"
RCT06003,L-spine CT,"100,390"
RCT06003-H,건강검진 L-spine CT,"100,390"
RCT06004,L-S spine CT,"100,390"
RCT06005,Sacrococcyx CT,"100,390"
RCT06006,S-I joint CT,"100,390"
RCT06007,C-T spine CT(동시촬영),"111,350"
RCT06008,T-L spine CT(동시촬영),"111,350"
