수가코드,종료일자,한글명칭,보험수가,일반수가
RMH001,29991231,*Both Ext MRI,"488,050","850,000"
RMH002,29991231,*Post op MRI,0,"290,000"
RMH003,29991231,*MR Arthrogram,"446,533","900,000"
RMH004,29991231,*L-spine Myelo MRI,0,"250,000"
RMH005,29991231,*C-spine Myelo MRI,0,"250,000"
RMH3001,29991231,*[3T] MRI Contrast Add,"32,853","220,000"
RMH3002,29991231,*[3T] Post op MRI,0,"290,000"
RMH3101,29991231,♧ [3T] Brain DWI only,"165,340","300,000"
RMH3102,29991231,♧ [3T] Brain MRA,"271,510","400,000"
RMH3103,29991231,♧ [3T] Brain MRA F/U,"271,510","400,000"
RMH3104,29991231,♧ [3T] Brain MRA F/U post coil-embolization,"271,510","400,000"
RMH3105,29991231,♧ [3T] Brain MRA vessel wall,"271,510","400,000"
RMH3106,29991231,♧ [3T] Neck MRA,"271,510","480,000"
RMH3107,29991231,♧ [3T] Brain MRI + Neck MRA,"394,440","680,000"
RMH3108,29991231,♧ [3T] Brain and neck MRA with CE (time resolved MRA),"566,958","850,000"
RMH3109,29991231,♧ [3T] MR Venography with CE,"388,923","530,000"
RMH3110,29991231,♧ [3T] Brain MRI,"249,470","580,000"
RMH3111,29991231,♧ [3T] Brain MRI with CE,"359,643","700,000"
RMH3112,29991231,♧ [3T] Brain MRI+MRA,"394,440","680,000"
RMH3113,29991231,♧ [3T] Brain MRI + MRA + Neck MRA,"528,390","780,000"
RMH3114,29991231,♧ [3T] Brain MRI + MRA vessel wall,"260,490","680,000"
RMH3115,29991231,♧ [3T] Brain MRI with CE + MRA,"493,593","800,000"
RMH3116,29991231,♧ [3T] Brain MRI + DWI,"339,230","630,000"
RMH3117,29991231,♧ [3T] Brain MRI + DWI+ MRA,"484,200","730,000"
RMH3118,29991231,♧ [3T] Brain MRI + DWI+ MRA + Neck MRA,"618,150","830,000"
RMH3119,29991231,♧ [3T] Brain MRI + (DWI)+ MRA,"394,440","680,000"
RMH3120,29991231,♧ [3T] Brain MRI + (DWI)+ MRA + Neck MRA,"528,390","780,000"
RMH3121,29991231,♧ [3T] Brain MRI + DWI with CE+ MRA,"583,353","850,000"
RMH3122,29991231,♧ [3T] Brain MRI + (DWI) with CE+ MRA,"493,593","800,000"
RMH3123,29991231,♧ [3T] Brain MRI + Cranial Nerve with CE + MRA,"493,593","800,000"
RMH3124,29991231,♧ [3T] Brain MRI + DWI +Cranial Nerve with CE+MRA,"583,353","850,000"
RMH3125,29991231,♧ [3T] Brain MRI + Perfusion with CE,"503,474","750,000"
RMH3126,29991231,♧ [3T] Brain MRI + Perfusion with CE + MRA+ Neck MRA,"771,374","880,000"
RMH3127,29991231,♧ [3T] Brain MRI + DWI+Perfusion with CE + MRA+ Neck MRA(Stroke),"861,134","900,000"
RMH3128,29991231,♧ [3T] Sella MRI + Dynamic with CE,"535,934","750,000"
RMH3129,29991231,♧ [3T] Brain MRI with CE + DWI+ MRA + Neck MRA ,"717,303","930,000"
RMH3130,29991231,♧ [3T] Brain MRI with CE +  MRA + Neck MRA ,"627,543","930,000"
RMH3131,29991231,♧ [3T] Brain MRA+DWI,"361,270","450,000"
RMH3132,29991231,♧ [3T] Temporal MRI with CE,"387,873","750,000"
RMH3133,29991231,♧[3T] Temporal MRI,"270,770","580,000"
RMH3134,29991231,♧ [3T] Brain Perfusion MRI,"284,714","300,000"
RMH3201,29991231,♧ [3T] Orbit MRI + DWI with CE,"477,633","780,000"
RMH3202,29991231,♧ [3T] Neck MRI with CE,"387,873","750,000"
RMH3203,29991231,♧ [3T] TM Joint MRI,"270,770","580,000"
RMH3204,29991231,♧ [3T] Inner ear + DWI with CE,"387,873","830,000"
RMH3301,29991231,♧ [3T] C-spine MRI,"256,470","580,000"
RMH3302,29991231,♧ [3T] C-spine MRI + myelography,"382,900","580,000"
RMH3303,29991231,♧ [3T] C-spine MRI + myelography with CE,"495,213","880,000"
RMH3304,29991231,♧ [3T] C-spine MRI with CE,"368,783","750,000"
RMH3305,29991231,♧ [3T] C-T spine MRI,"382,900","750,000"
RMH3306,29991231,♧ [3T] C-L spine MRI,"382,900","750,000"
RMH3307,29991231,♧ [3T] C-T spine MRI with CE,"536,748","830,000"
RMH3308,29991231,♧ [3T] T-spine MRI,"256,470","650,000"
